fill	x	y	key	group	clickSelects	showSelected1	PANEL
#A58AFF	1993.13592018609	1995.88922224666	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.12724436837	1995.90450688618	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.12381439393	1995.92656305554	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.12947795008	1995.96586559101	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.12378812268	1996.04224383718	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.13542260861	1996.07996846213	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.14540305661	1996.10641949843	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.17939437659	1996.11012280487	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.16761119539	1996.13991062055	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.16192136798	1996.1572007855	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.15827596929	1996.16220192048	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.15691722022	1996.17019981759	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.15873308904	1996.1781954095	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.16739577113	1996.18118986644	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.17331415841	1996.19117830518	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.18287794439	1996.20516396357	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.18789522778	1996.21116786126	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.18880946729	1996.22815028179	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.19335596988	1996.24014424596	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.2001891221	1996.25513381967	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.20564986419	1996.27213007141	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.20429164055	1996.29210579628	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.20930892394	1996.31609372462	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.21158191252	1996.33108329833	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.21522731122	1996.34408117781	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.21203903228	1996.36305413997	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.20930892394	1996.37904647639	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.20839363358	1996.39803326976	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.21385437568	1996.40303440473	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.22068857874	1996.41002838652	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.22205993801	1996.42501796023	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.22570533671	1996.4440047536	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.22843544505	1996.45899432731	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.23298247306	1996.47098944407	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.23343959281	1996.48296957703	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.23070843363	1996.50295913311	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.24210227491	1996.50595359005	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.24664772664	1996.4949635412	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.2527148092	1996.48066668059	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.26937971414	1996.45409692641	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.28015460476	1996.44638026389	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.29375312937	1996.44248562571	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.31045954289	1996.44612899691	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.32382950762	1996.45108633306	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.33013723483	1996.44981847215	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.34470516857	1996.43047667773	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.36170687095	1996.40335943816	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.3671812741	1996.39136547399	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.36971014466	1996.3728938932	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.37475422473	1996.36736140924	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.38560897995	1996.38562667449	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.39611485296	1996.39170549123	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.40578582564	1996.38823846796	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.41645195328	1996.3862018223	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.42713174198	1996.39289958569	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.43189419424	1996.39773935654	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.45053627349	1996.42140340405	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.46737719581	1996.4393874347	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.47789567903	1996.4504524026	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.48168872215	1996.48739441159	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.48653103902	1996.50838903559	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.49347190336	1996.52064809795	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.49086211735	1996.53580018838	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.48799750021	1996.54742532028	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.4850514422	1996.56312259089	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.48799750021	1996.57142938503	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.49473660135	1996.57513269148	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.51164372723	1996.57511770766	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.54130291803	1996.59165637688	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.56603940193	1996.60817890968	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.58889223719	1996.6216343717	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.59930300827	1996.62386234909	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.60916365938	1996.62156175784	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.61366865339	1996.62548521105	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.61490655471	1996.63833555763	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.62052860228	1996.65195353636	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.633226023	1996.66289978638	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.65714231847	1996.68620998543	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.6782192172	1996.72083641937	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.68576537115	1996.74709727653	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.69082311227	1996.78545583193	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.7007095092	1996.84457157556	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.711563739	1996.90941228748	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.7156000539	1996.93795990468	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.72026687881	1996.95995729139	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.73889634786	1996.97853260626	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.75791568227	1996.99194196424	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.78738782176	1996.99461254035	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.82200912632	1996.9959403365	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.82931358477	1997.03136321761	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.83388688403	1997.06140114767	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.83964344041	1997.07690708654	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.84802396927	1997.08950616614	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.85094217976	1997.09201422554	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.86962524216	1997.07357261236	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.89823568464	1997.04536385981	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.93155393519	1997.03128945115	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.94829923016	1997.02420787169	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.9552400945	1997.02534318351	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1993.99731402736	1997.03223343123	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.03052509121	1997.02121341476	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.04797130314	1996.99111670205	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.06508019222	1996.98337007192	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.08188013139	1996.99800694978	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.09229195333	1997.00061759064	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.09631355634	1996.99124925115	2	2	Afghanistan	Asie du Sud	2
#A58AFF	1994.1047066954	1996.98727969391	2	2	Afghanistan	Asie du Sud	2
