ymin	ymax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL	group
1970.5	1971.5	1971 1962	année	1971	année	1962	1	565
1971.5	1972.5	1972 1962	année	1972	année	1962	1	616
1972.5	1973.5	1973 1962	année	1973	année	1962	1	667
1973.5	1974.5	1974 1962	année	1974	année	1962	1	718
1974.5	1975.5	1975 1962	année	1975	année	1962	1	769
1975.5	1976.5	1976 1962	année	1976	année	1962	1	820
1976.5	1977.5	1977 1962	année	1977	année	1962	1	871
1977.5	1978.5	1978 1962	année	1978	année	1962	1	922
1978.5	1979.5	1979 1962	année	1979	année	1962	1	973
1979.5	1980.5	1980 1962	année	1980	année	1962	1	1024
1980.5	1981.5	1981 1962	année	1981	année	1962	1	1075
1981.5	1982.5	1982 1962	année	1982	année	1962	1	1126
1982.5	1983.5	1983 1962	année	1983	année	1962	1	1177
1983.5	1984.5	1984 1962	année	1984	année	1962	1	1228
1984.5	1985.5	1985 1962	année	1985	année	1962	1	1279
1985.5	1986.5	1986 1962	année	1986	année	1962	1	1330
1986.5	1987.5	1987 1962	année	1987	année	1962	1	1381
1987.5	1988.5	1988 1962	année	1988	année	1962	1	1432
1988.5	1989.5	1989 1962	année	1989	année	1962	1	1483
1989.5	1990.5	1990 1962	année	1990	année	1962	1	1534
1990.5	1991.5	1991 1962	année	1991	année	1962	1	1585
1991.5	1992.5	1992 1962	année	1992	année	1962	1	1636
1992.5	1993.5	1993 1962	année	1993	année	1962	1	1687
1993.5	1994.5	1994 1962	année	1994	année	1962	1	1738
1994.5	1995.5	1995 1962	année	1995	année	1962	1	1789
1995.5	1996.5	1996 1962	année	1996	année	1962	1	1840
1996.5	1997.5	1997 1962	année	1997	année	1962	1	1891
1997.5	1998.5	1998 1962	année	1998	année	1962	1	1942
1998.5	1999.5	1999 1962	année	1999	année	1962	1	1993
1999.5	2000.5	2000 1962	année	2000	année	1962	1	2044
2000.5	2001.5	2001 1962	année	2001	année	1962	1	2095
2001.5	2002.5	2002 1962	année	2002	année	1962	1	2146
2002.5	2003.5	2003 1962	année	2003	année	1962	1	2197
2003.5	2004.5	2004 1962	année	2004	année	1962	1	2248
2004.5	2005.5	2005 1962	année	2005	année	1962	1	2299
2005.5	2006.5	2006 1962	année	2006	année	1962	1	2350
2006.5	2007.5	2007 1962	année	2007	année	1962	1	2401
2007.5	2008.5	2008 1962	année	2008	année	1962	1	2452
2008.5	2009.5	2009 1962	année	2009	année	1962	1	2503
2009.5	2010.5	2010 1962	année	2010	année	1962	1	2554
2010.5	2011.5	2011 1962	année	2011	année	1962	1	2605
1959.5	1960.5	1960 1963	année	1960	année	1963	1	4
1960.5	1961.5	1961 1963	année	1961	année	1963	1	55
1961.5	1962.5	1962 1963	année	1962	année	1963	1	106
1962.5	1963.5	1	année	1963	année	1963	1	1
1963.5	1964.5	1964 1963	année	1964	année	1963	1	209
1964.5	1965.5	1965 1963	année	1965	année	1963	1	260
1965.5	1966.5	1966 1963	année	1966	année	1963	1	311
1966.5	1967.5	1967 1963	année	1967	année	1963	1	362
1967.5	1968.5	1968 1963	année	1968	année	1963	1	413
1968.5	1969.5	1969 1963	année	1969	année	1963	1	464
1969.5	1970.5	1970 1963	année	1970	année	1963	1	515
1970.5	1971.5	1971 1963	année	1971	année	1963	1	566
1971.5	1972.5	1972 1963	année	1972	année	1963	1	617
1972.5	1973.5	1973 1963	année	1973	année	1963	1	668
1973.5	1974.5	1974 1963	année	1974	année	1963	1	719
1974.5	1975.5	1975 1963	année	1975	année	1963	1	770
1975.5	1976.5	1976 1963	année	1976	année	1963	1	821
1976.5	1977.5	1977 1963	année	1977	année	1963	1	872
1977.5	1978.5	1978 1963	année	1978	année	1963	1	923
